Date,Product_ID,Product_Name,Category,Warehouse,Supplier,Current_Stock,Reorder_Point,Safety_Stock,Lead_Time_Days,Units_Sold,Unit_Price,Promotion,Holiday,Season,Supplier_Reliability
2025-01-01,P001,Smartphone X,Electronics,WH001,SUP007,630.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-01-02,P001,Smartphone X,Electronics,WH001,SUP007,604.0,240.0,140,5.0,26,800,No,No,Winter,0.97
2025-01-03,P001,Smartphone X,Electronics,WH001,SUP007,577.0,240.0,140,5.0,27,800,No,No,Winter,0.97
2025-01-04,P001,Smartphone X,Electronics,WH001,SUP007,543.0,240.0,140,5.0,34,800,No,No,Winter,0.97
2025-01-05,P001,Smartphone X,Electronics,WH001,SUP007,488.0,240.0,140,5.0,55,800,Yes,No,Winter,0.97
2025-01-06,P001,Smartphone X,Electronics,WH001,SUP007,458.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-01-07,P001,Smartphone X,Electronics,WH001,SUP007,432.0,240.0,140,5.0,26,800,No,No,Winter,0.97
2025-01-08,P001,Smartphone X,Electronics,WH001,SUP007,397.0,240.0,140,5.0,35,800,Yes,No,Winter,0.97
2025-01-09,P001,Smartphone X,Electronics,WH001,SUP007,367.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-01-10,P001,Smartphone X,Electronics,WH001,SUP007,337.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-01-11,P001,Smartphone X,Electronics,WH001,SUP007,309.0,240.0,140,5.0,28,800,No,No,Winter,0.97
2025-01-12,P001,Smartphone X,Electronics,WH001,SUP007,271.0,240.0,140,5.0,38,800,No,No,Winter,0.97
2025-01-13,P001,Smartphone X,Electronics,WH001,SUP007,247.0,240.0,140,5.0,24,800,No,No,Winter,0.97
2025-01-14,P001,Smartphone X,Electronics,WH001,SUP007,223.0,240.0,140,5.0,24,800,No,No,Winter,0.97
2025-01-15,P001,Smartphone X,Electronics,WH001,SUP007,194.0,240.0,140,5.0,29,800,No,No,Winter,0.97
2025-01-16,P001,Smartphone X,Electronics,WH001,SUP007,171.0,240.0,140,5.0,23,800,No,No,Winter,0.97
2025-01-17,P001,Smartphone X,Electronics,WH001,SUP007,138.0,240.0,140,5.0,33,800,,No,Winter,0.97
2025-01-18,P001,Smartphone X,Electronics,WH001,SUP007,545.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-01-19,P001,Smartphone X,Electronics,WH001,SUP007,494.0,240.0,140,5.0,51,800,Yes,No,Winter,0.97
2025-01-20,P001,Smartphone X,Electronics,WH001,SUP007,463.0,240.0,140,5.0,31,800,No,No,Winter,0.97
2025-01-21,P001,Smartphone X,Electronics,WH001,SUP007,422.0,240.0,140,5.0,41,800,Yes,No,Winter,0.97
2025-01-22,P001,Smartphone X,Electronics,WH001,SUP007,389.0,240.0,140,5.0,33,800,No,No,Winter,0.97
2025-01-23,P001,Smartphone X,Electronics,WH001,SUP007,361.0,240.0,140,5.0,28,800,No,No,Winter,0.97
2025-01-24,P001,Smartphone X,Electronics,WH001,SUP007,328.0,240.0,140,5.0,33,800,No,No,Winter,0.97
2025-01-25,P001,Smartphone X,Electronics,WH001,SUP007,291.0,240.0,140,5.0,37,800,No,No,Winter,0.97
2025-01-26,P001,Smartphone X,Electronics,WH001,SUP007,227.0,240.0,140,5.0,64,800,No,Yes,Winter,0.97
2025-01-27,P001,Smartphone X,Electronics,WH001,SUP007,200.0,240.0,140,5.0,27,800,No,No,Winter,0.97
2025-01-28,P001,Smartphone X,Electronics,WH001,SUP007,177.0,240.0,140,5.0,23,800,No,No,Winter,0.97
2025-01-29,P001,Smartphone X,Electronics,WH001,SUP007,151.0,240.0,140,5.0,26,800,No,No,Winter,0.97
2025-01-30,P001,Smartphone X,Electronics,WH001,SUP007,127.0,240.0,140,5.0,24,800,No,No,Winter,0.97
2025-01-31,P001,Smartphone X,Electronics,WH001,SUP007,104.0,240.0,140,5.0,23,800,No,No,Winter,0.97
2025-02-01,P001,Smartphone X,Electronics,WH001,SUP007,508.0,240.0,140,5.0,29,800,No,No,Winter,0.97
2025-02-02,P001,Smartphone X,Electronics,WH001,SUP007,459.0,240.0,140,,49,800,Yes,No,Winter,0.97
2025-02-03,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,29,800,No,No,Winter,0.97
2025-02-04,P001,Smartphone X,Electronics,WH001,SUP007,407.0,240.0,140,,23,800,No,No,Winter,0.97
2025-02-05,P001,Smartphone X,Electronics,WH001,SUP007,379.0,240.0,140,5.0,28,800,,No,Winter,0.97
2025-02-06,P001,Smartphone X,Electronics,WH001,SUP007,348.0,240.0,140,5.0,31,800,No,No,Winter,0.97
2025-02-07,P001,Smartphone X,Electronics,WH001,SUP007,315.0,240.0,140,5.0,33,800,Yes,No,Winter,0.97
2025-02-08,P001,Smartphone X,Electronics,WH001,SUP007,283.0,240.0,140,5.0,32,800,No,No,Winter,0.97
2025-02-09,P001,Smartphone X,Electronics,WH001,SUP007,247.0,240.0,140,5.0,36,800,No,No,Winter,0.97
2025-02-10,P001,Smartphone X,Electronics,WH001,SUP007,202.0,240.0,140,5.0,45,800,Yes,No,Winter,0.97
2025-02-11,P001,Smartphone X,Electronics,WH001,SUP007,162.0,240.0,140,5.0,40,800,Yes,No,Winter,0.97
2025-02-12,P001,Smartphone X,Electronics,WH001,SUP007,126.0,240.0,140,5.0,36,800,Yes,No,Winter,0.97
2025-02-13,P001,Smartphone X,Electronics,WH001,SUP007,99.0,240.0,140,5.0,27,800,No,No,Winter,0.97
2025-02-14,P001,Smartphone X,Electronics,WH001,SUP007,76.0,240.0,140,5.0,23,800,No,No,Winter,0.97
2025-02-15,P001,Smartphone X,Electronics,WH001,SUP007,20.0,240.0,140,5.0,56,800,Yes,No,Winter,0.97
2025-02-16,P001,Smartphone X,Electronics,WH001,SUP007,436.0,240.0,140,5.0,42,800,Yes,No,Winter,0.97
2025-02-17,P001,Smartphone X,Electronics,WH001,SUP007,406.0,240.0,140,5.0,30,800,No,No,Winter,0.97
2025-02-18,P001,Smartphone X,Electronics,WH001,SUP007,380.0,240.0,140,5.0,26,800,,No,Winter,0.97
2025-02-19,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,32,800,No,No,Winter,0.97
2025-02-20,P001,Smartphone X,Electronics,WH001,SUP007,316.0,240.0,140,5.0,32,800,Yes,No,Winter,0.97
2025-02-21,P001,Smartphone X,Electronics,WH001,SUP007,284.0,,140,5.0,32,800,No,No,Winter,
2025-02-22,P001,Smartphone X,Electronics,WH001,SUP007,254.0,240.0,140,5.0,30,800,,No,Winter,0.97
2025-02-23,P001,Smartphone X,Electronics,WH001,SUP007,218.0,240.0,140,5.0,36,800,No,No,Winter,0.97
2025-02-24,P001,Smartphone X,Electronics,WH001,SUP007,194.0,240.0,140,5.0,24,800,No,No,Winter,0.97
2025-02-25,P001,Smartphone X,Electronics,WH001,SUP007,161.0,240.0,140,5.0,33,800,No,No,Winter,0.97
2025-02-26,P001,Smartphone X,Electronics,WH001,SUP007,133.0,240.0,140,5.0,28,800,No,No,Winter,
2025-02-27,P001,Smartphone X,Electronics,WH001,SUP007,110.0,240.0,140,5.0,23,800,No,No,Winter,0.97
2025-02-28,P001,Smartphone X,Electronics,WH001,SUP007,82.0,240.0,140,5.0,28,800,No,No,Winter,0.97
2025-03-01,P001,Smartphone X,Electronics,WH001,,62.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-02,P001,Smartphone X,Electronics,WH001,SUP007,485.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-03-03,P001,Smartphone X,Electronics,WH001,SUP007,465.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-04,P001,Smartphone X,Electronics,WH001,,438.0,240.0,140,5.0,27,800,Yes,No,Summer,0.97
2025-03-05,P001,Smartphone X,Electronics,WH001,SUP007,421.0,240.0,140,5.0,17,800,No,No,Summer,0.97
2025-03-06,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-07,P001,Smartphone X,Electronics,WH001,,381.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-08,P001,Smartphone X,Electronics,WH001,SUP007,353.0,240.0,140,5.0,28,800,No,No,Summer,0.97
2025-03-09,P001,Smartphone X,Electronics,WH001,SUP007,327.0,240.0,140,5.0,26,800,No,No,Summer,0.97
2025-03-10,P001,Smartphone X,Electronics,WH001,SUP007,308.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-03-11,P001,Smartphone X,Electronics,WH001,SUP007,290.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-03-12,P001,Smartphone X,Electronics,WH001,SUP007,260.0,240.0,140,5.0,30,800,Yes,No,Summer,0.97
2025-03-13,P001,Smartphone X,Electronics,WH001,SUP007,237.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-03-14,P001,Smartphone X,Electronics,WH001,SUP007,209.0,240.0,140,5.0,28,800,No,Yes,Summer,0.97
2025-03-15,P001,Smartphone X,Electronics,WH001,SUP007,180.0,240.0,140,5.0,29,800,Yes,No,Summer,
2025-03-16,P001,Smartphone X,Electronics,WH001,SUP007,159.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-03-17,P001,Smartphone X,Electronics,WH001,SUP007,562.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-18,P001,Smartphone X,Electronics,WH001,SUP007,539.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-03-19,P001,Smartphone X,Electronics,WH001,SUP007,519.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-20,P001,Smartphone X,Electronics,WH001,SUP007,499.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-03-21,P001,Smartphone X,Electronics,WH001,SUP007,483.0,,140,5.0,16,800,No,No,Summer,0.97
2025-03-22,P001,Smartphone X,Electronics,WH001,SUP007,462.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-03-23,P001,Smartphone X,Electronics,WH001,SUP007,436.0,240.0,140,5.0,26,800,No,No,Summer,0.97
2025-03-24,P001,Smartphone X,Electronics,WH001,SUP007,418.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-03-25,P001,Smartphone X,Electronics,WH001,SUP007,400.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-03-26,P001,Smartphone X,Electronics,WH001,SUP007,378.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-03-27,P001,Smartphone X,Electronics,WH001,SUP007,360.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-03-28,P001,Smartphone X,Electronics,WH001,SUP007,344.0,240.0,140,5.0,16,800,No,No,Summer,0.97
